RECORD,CLASS
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal . ",positive
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth . ",positive
effective but too-tepid biopic,positive
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start . ",positive
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . ",positive
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . ,positive
offers that rare combination of entertainment and education . ,positive
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . ,positive
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off . ,positive
take care of my cat offers a refreshingly different slice of asian cinema . ,positive
"this is a film well worth seeing , talking and singing heads and all . ",positive
what really surprises about wisegirls is its low-key quality and genuine tenderness . ,positive
" ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . ",positive
"one of the greatest family-oriented , fantasy-adventure movies ever . ",positive
"ultimately , it ponders the reasons we need stories so much . ",positive
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . ,positive
illuminating if overly talky documentary . ,positive
a masterpiece four years in the making . ,positive
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries . ",positive
offers a breath of the fresh air of true sophistication . ,positive
"a thoughtful , provocative , insistently humanizing film . ",positive
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . ",positive
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass . ,positive
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . ",positive
scores a few points for doing what it does with a dedicated and good-hearted professionalism . ,positive
"occasionally melodramatic , it's also extremely effective . ",positive
"it is so earnest , so overwrought and so wildly implausible that it begs to be parodied . ",negative
these are textbook lives of quiet desperation . ,negative
"swimfan , like fatal attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub . ",negative
"claims to sort the bad guys from the good , which is its essential problem . ",negative
"purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons . ",negative
"feels like pieces a bunch of other , better movies slapped together . ",negative
"almost everything about the film is unsettling , from the preposterous hairpiece worn by lai's villainous father to the endless action sequences . ",negative
"writer-director randall wallace has bitten off more than he or anyone else could chew , and his movie veers like a drunken driver through heavy traffic . ",negative
"it follows the blair witch formula for an hour , in which we're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes . ",negative
one can't shake the feeling that crossroads is nothing more than an hour-and-a-half-long commercial for britney's latest album . ,negative
phoned-in business as usual . ,negative
"there's an epic here , but you have to put it together yourself . ",negative
"what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else . ",negative
"director-chef gabriele muccino keeps it fast -- zippy , comin' at ya -- as if fearing that his film is molto superficiale . ",negative
"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . ",negative
"the most horrific movie experience i've had since "" can't stop the music . "" it may as well be called "" jar-jar binks : the movie . "" it's that painful . ",negative
"god is great , the movie's not . ",negative
"like a three-ring circus , there are side stories aplenty -- none of them memorable . ",negative
"when in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip . or else a doggie winks . ",negative
